,Time,S1Temp,S2Temp,S3Temp,S1Light,S2Light,S3Light,CO2,PIR1,PIR2,Persons
58,4822,20.23,19.92,19.72,246.0,70,118.0,440.0,0,0,1
59,4825,20.23,19.96,19.77,246.0,70,118.0,440.0,0,0,1
60,4828,20.21,19.9,19.76,248.0,72,122.0,435.0,0,0,1
61,4831,20.15,19.95,19.78,248.0,72,124.0,430.0,1,0,1
62,4834,20.21,19.97,19.73,248.0,72,122.0,435.0,0,0,1
63,4837,20.19,19.94,19.76,246.0,72,120.0,440.0,1,0,1
64,4840,20.22,19.99,19.72,246.0,70,120.0,445.0,0,0,1
65,4843,20.25,19.95,19.73,246.0,70,120.0,445.0,0,0,1
66,4846,20.22,19.91,19.75,248.0,72,120.0,445.0,0,0,1
67,4849,20.22,19.97,19.74,248.0,70,120.0,445.0,0,0,1
68,4852,20.25,19.99,19.73,248.0,72,120.0,440.0,0,0,1
69,4855,20.24,19.92,19.78,248.0,72,126.0,440.0,0,0,1
70,4858,20.3,19.94,19.8,248.0,74,128.0,445.0,0,0,1
71,4861,20.26,19.99,19.74,248.0,74,130.0,445.0,1,0,1
72,4864,20.23,19.94,19.8,246.0,74,128.0,450.0,1,0,1
73,4869,20.26,20.22,19.87,246.0,62,122.0,450.0,1,1,1
74,4872,20.29,20.58,19.75,248.0,58,124.0,450.0,1,1,1
75,4875,20.3,20.43,19.73,300.0,374,126.0,450.0,1,1,2
76,4878,20.36,20.34,19.74,306.0,432,126.0,450.0,1,1,2
77,4881,20.29,20.4,19.81,310.0,468,126.0,450.0,1,1,2
78,4884,20.29,20.36,19.79,312.0,478,128.0,445.0,0,1,2
79,4887,20.33,20.3,19.73,314.0,482,134.0,445.0,0,1,2
80,4890,20.33,20.31,19.85,314.0,484,136.0,450.0,0,1,2
81,4893,20.34,20.4,19.76,314.0,484,138.0,450.0,0,1,2
82,4896,20.36,20.4,19.87,316.0,486,140.0,455.0,1,0,2
83,4899,20.29,20.41,19.74,314.0,484,134.0,455.0,1,0,2
84,4902,20.29,20.28,19.78,314.0,484,136.0,450.0,0,0,2
85,4905,20.35,20.38,19.8,314.0,482,136.0,450.0,1,0,2
86,4908,20.36,20.36,19.82,314.0,482,136.0,445.0,1,0,2
87,4911,20.29,20.35,19.82,314.0,480,138.0,450.0,1,0,2
88,4914,20.37,20.37,19.83,314.0,480,140.0,450.0,1,0,2
89,4917,20.41,20.32,19.83,314.0,478,140.0,450.0,1,0,2
90,4920,20.38,20.31,19.8,312.0,478,140.0,460.0,1,0,2
91,4923,20.34,20.43,19.82,314.0,478,140.0,460.0,0,0,2
92,4933,20.39,20.4,19.81,310.0,472,140.0,475.0,1,1,2
93,4936,20.41,20.47,19.81,310.0,472,136.0,480.0,1,1,2
94,4939,20.36,20.44,19.87,310.0,474,138.0,480.0,0,1,2
95,4942,20.43,20.52,19.84,310.0,472,138.0,485.0,1,1,2
96,4945,20.42,20.47,19.86,310.0,472,140.0,490.0,0,1,2
97,4948,20.42,20.54,19.92,310.0,474,142.0,500.0,1,1,2
98,4951,20.44,20.56,19.85,310.0,474,142.0,500.0,1,1,2
99,4954,20.41,20.53,19.88,310.0,470,144.0,500.0,0,0,2
100,4957,20.36,20.51,19.87,310.0,472,142.0,500.0,1,0,2
101,4960,20.39,20.5,19.88,310.0,470,142.0,510.0,1,1,2
102,4963,20.45,20.48,19.88,310.0,470,140.0,510.0,1,0,2
103,4966,20.45,20.46,19.91,310.0,468,140.0,515.0,0,0,2
104,4969,20.43,20.55,19.93,310.0,468,140.0,515.0,1,0,2
105,4971,20.41,20.57,19.91,310.0,470,142.0,515.0,0,0,2
106,4974,20.4,20.62,19.84,310.0,470,144.0,520.0,0,1,2
107,4977,20.45,20.54,19.9,310.0,470,142.0,525.0,1,1,2
108,4980,20.46,20.63,19.9,310.0,468,146.0,530.0,1,1,2
109,4983,20.46,20.54,19.89,310.0,468,144.0,540.0,1,1,2
110,4986,20.47,20.55,19.9,310.0,470,146.0,540.0,1,0,2
111,4989,20.47,20.54,19.94,310.0,468,146.0,545.0,1,0,2
112,4992,20.53,20.57,19.86,310.0,468,146.0,545.0,1,0,2
113,4995,20.49,20.6,19.92,310.0,468,148.0,545.0,0,0,2
114,4998,20.52,20.66,19.94,310.0,466,146.0,550.0,0,0,2
115,5001,20.43,20.68,19.91,310.0,466,146.0,550.0,0,0,2
116,5004,20.52,20.69,19.9,310.0,466,146.0,550.0,0,1,2
117,5007,20.49,20.64,19.96,310.0,466,148.0,555.0,1,1,2
118,5010,20.5,20.6,19.93,310.0,466,148.0,555.0,1,0,2
119,5013,20.47,20.73,19.92,310.0,466,148.0,555.0,1,1,2
120,5016,20.53,20.7,19.98,310.0,466,150.0,555.0,1,1,2
121,5019,20.52,20.67,19.97,310.0,464,148.0,560.0,1,1,1
122,5022,20.55,20.64,19.97,310.0,466,148.0,560.0,1,0,1
123,5025,20.48,20.69,19.99,310.0,466,148.0,560.0,1,0,2
124,5028,20.52,20.64,19.95,310.0,464,150.0,560.0,1,1,2
125,5030,20.56,20.74,19.94,310.0,464,150.0,565.0,1,1,2
126,5033,20.54,20.74,19.97,310.0,464,150.0,570.0,1,1,2
127,5036,20.53,20.68,19.93,302.0,464,150.0,570.0,1,1,2
128,5039,20.53,20.87,19.91,310.0,478,150.0,570.0,1,1,2
129,5042,20.54,21.28,19.95,312.0,486,150.0,580.0,1,1,2
130,5045,20.46,21.77,19.99,310.0,484,150.0,580.0,1,1,2
131,5048,20.48,21.76,19.96,310.0,484,150.0,585.0,1,1,2
132,5051,20.54,21.9,19.98,310.0,476,148.0,590.0,1,1,2
133,5054,20.55,21.86,20.02,310.0,486,146.0,585.0,1,1,2
134,5057,20.53,22.12,20.01,312.0,486,142.0,590.0,0,0,2
135,5060,20.48,22.18,19.9,312.0,486,148.0,590.0,0,0,2
136,5063,20.47,22.38,19.97,312.0,488,150.0,600.0,0,0,2
137,5066,20.55,22.45,19.98,314.0,488,150.0,600.0,0,0,2
138,5069,20.47,22.54,20.0,314.0,488,150.0,595.0,0,0,2
139,5072,20.54,22.65,19.99,312.0,488,150.0,605.0,1,0,2
140,5075,20.47,22.85,20.03,314.0,488,150.0,595.0,1,0,2
141,5078,20.48,22.62,19.97,314.0,488,154.0,595.0,0,0,2
142,5081,20.55,22.45,20.02,314.0,488,152.0,590.0,1,0,2
143,5084,20.54,22.34,20.0,312.0,488,150.0,590.0,1,0,2
144,5087,20.56,22.55,19.96,314.0,488,152.0,590.0,1,0,2
145,5090,20.55,22.37,19.99,314.0,488,154.0,590.0,1,0,2
146,5093,20.53,22.27,20.04,314.0,488,152.0,595.0,1,0,2
147,5096,20.54,22.25,20.0,314.0,488,152.0,595.0,1,0,2
148,5099,20.54,22.36,20.02,314.0,488,152.0,595.0,0,0,2
149,5102,20.57,22.36,20.06,314.0,488,154.0,600.0,1,0,2
150,5105,20.57,22.39,19.97,314.0,488,152.0,610.0,0,0,2
151,5108,20.62,22.3,19.97,314.0,488,156.0,605.0,0,0,2
152,5111,20.6,22.35,19.98,314.0,490,158.0,610.0,1,0,2
153,5114,20.59,22.53,19.97,312.0,488,158.0,615.0,1,0,2
154,5117,20.58,22.41,20.04,312.0,488,158.0,615.0,1,0,2
155,5120,20.63,22.47,20.04,314.0,488,158.0,620.0,0,0,2
156,5123,20.58,22.48,20.01,314.0,486,160.0,625.0,1,1,2
157,5126,20.62,22.51,20.02,312.0,488,160.0,630.0,1,1,2
158,5129,20.54,22.53,20.07,312.0,488,156.0,630.0,1,0,2
159,5132,20.54,22.53,20.04,314.0,488,158.0,630.0,1,0,2
160,5135,20.59,22.78,20.03,314.0,488,156.0,630.0,1,1,2
161,5138,20.56,22.92,20.06,312.0,482,154.0,625.0,0,1,2
162,5141,20.65,23.19,20.09,312.0,480,152.0,625.0,0,0,2
163,5144,20.61,23.11,20.04,312.0,488,154.0,630.0,0,1,2
164,5147,20.61,23.0,20.05,312.0,486,154.0,630.0,1,0,2
165,5150,20.62,22.86,20.06,312.0,480,158.0,625.0,1,1,2
166,5153,20.63,22.75,20.11,312.0,482,158.0,635.0,1,1,2
167,5156,20.68,22.7,20.09,310.0,478,158.0,635.0,1,1,2
168,5159,20.68,22.85,20.08,310.0,484,154.0,635.0,1,1,2
169,5162,20.57,22.98,20.08,312.0,486,156.0,630.0,1,1,2
170,5165,20.64,23.18,20.08,312.0,486,158.0,635.0,1,0,2
171,5168,20.62,23.11,20.07,314.0,488,160.0,635.0,1,0,2
172,5171,20.6,23.06,20.08,312.0,488,160.0,635.0,1,0,2
173,5174,20.6,23.12,20.08,310.0,486,160.0,635.0,1,0,2
174,5177,20.69,23.18,20.12,310.0,484,156.0,640.0,1,0,2
175,5180,20.66,23.04,20.05,310.0,484,154.0,645.0,0,0,2
176,5183,20.69,22.94,20.17,312.0,488,160.0,650.0,1,0,2
177,5186,20.64,23.08,20.11,312.0,488,162.0,645.0,1,0,2
178,5191,20.6,23.08,20.04,314.0,488,164.0,650.0,0,0,2
179,5194,20.64,23.24,20.06,312.0,486,162.0,640.0,0,0,2
180,5197,20.68,23.27,20.17,314.0,488,162.0,640.0,1,0,2
181,5200,20.6,23.36,20.04,314.0,488,160.0,645.0,1,0,2
182,5203,20.59,23.45,20.17,312.0,488,160.0,645.0,0,0,2
183,5206,20.61,23.45,20.11,312.0,488,160.0,640.0,0,0,2
184,5209,20.62,23.49,20.15,312.0,486,160.0,645.0,0,0,2
185,5212,20.61,23.37,20.19,310.0,484,158.0,640.0,0,0,2
186,5215,20.68,23.31,20.17,310.0,484,156.0,645.0,0,0,2
187,5218,20.6,23.19,20.1,312.0,484,158.0,645.0,0,0,2
188,5221,20.67,23.39,20.13,312.0,488,162.0,640.0,1,0,2
189,5224,20.69,23.33,20.14,312.0,486,160.0,640.0,1,0,2
190,5227,20.65,23.31,20.17,310.0,484,380.0,645.0,1,0,2
191,5230,20.65,23.35,20.13,312.0,488,380.0,645.0,1,1,3
192,5233,20.65,23.51,20.16,316.0,490,410.0,650.0,1,1,3
193,5236,20.75,23.56,20.2,318.0,492,428.0,645.0,1,1,3
194,5239,20.7,23.55,20.21,318.0,492,440.0,655.0,1,1,3
195,5242,20.73,23.48,20.28,318.0,488,448.0,655.0,1,1,3
196,5245,20.69,23.44,20.22,318.0,494,448.0,660.0,1,1,3
197,5248,20.7,23.24,20.3,316.0,488,444.0,660.0,1,1,3
198,5251,20.68,23.5,20.21,316.0,488,434.0,655.0,1,1,3
199,5254,20.72,23.66,20.26,318.0,490,434.0,660.0,1,1,2
200,5257,20.65,23.6,20.21,318.0,490,432.0,665.0,1,0,2
201,5260,20.7,23.57,20.28,320.0,488,432.0,665.0,1,1,2
202,5263,20.79,23.73,20.21,320.0,488,446.0,670.0,1,1,3
203,5266,20.77,23.66,20.31,320.0,488,450.0,680.0,1,1,3
204,5268,20.81,23.86,20.26,320.0,488,448.0,675.0,1,1,3
205,5271,20.71,23.72,20.31,320.0,488,448.0,675.0,1,1,3
206,5274,20.71,23.71,20.31,320.0,486,430.0,675.0,1,1,3
207,5277,20.77,23.93,20.33,320.0,486,446.0,675.0,1,1,3
208,5280,20.8,23.85,20.24,320.0,486,444.0,685.0,1,1,3
209,5283,20.77,23.89,20.32,318.0,486,444.0,690.0,1,1,3
210,5286,20.79,23.92,20.34,318.0,486,448.0,690.0,1,1,3
211,5289,20.8,23.85,20.32,320.0,488,446.0,695.0,1,1,3
212,5292,20.72,23.89,20.32,320.0,488,446.0,695.0,1,1,3
213,5294,20.8,24.0,20.32,320.0,486,442.0,700.0,1,0,3
214,5297,20.74,23.85,20.34,318.0,492,442.0,695.0,1,1,3
215,5300,20.78,23.72,20.3,320.0,494,442.0,695.0,1,1,3
216,5400,20.94,23.14,20.43,326.0,498,458.0,810.0,1,1,3
217,5403,20.93,23.11,20.48,328.0,498,458.0,810.0,1,1,3
218,5406,20.87,23.08,20.41,326.0,498,456.0,810.0,1,1,3
219,5409,20.93,22.99,20.42,326.0,498,458.0,815.0,1,1,3
220,5412,20.89,23.11,20.4,326.0,496,458.0,815.0,1,1,3
221,5415,20.9,23.22,20.41,326.0,494,456.0,815.0,1,1,3
222,5418,20.93,23.2,20.45,324.0,494,456.0,815.0,1,1,3
223,5421,20.89,23.35,20.47,324.0,496,456.0,820.0,0,1,3
224,5424,20.87,23.12,20.45,324.0,494,456.0,835.0,1,0,3
225,5427,20.89,23.1,20.53,324.0,494,454.0,840.0,1,1,3
226,5430,20.85,23.23,20.5,324.0,498,454.0,840.0,1,1,3
227,5433,20.89,23.35,20.54,322.0,498,456.0,845.0,1,1,3
228,5436,20.86,23.17,20.55,324.0,498,456.0,845.0,1,1,3
229,5439,20.84,23.19,20.5,326.0,498,456.0,845.0,1,1,3
230,5442,20.84,23.06,20.55,324.0,492,454.0,845.0,1,0,3
231,5445,20.94,23.17,20.59,324.0,498,452.0,840.0,1,1,3
232,5448,20.85,23.0,20.62,326.0,500,452.0,840.0,1,1,3
233,5451,20.88,22.93,20.59,326.0,504,454.0,845.0,0,0,3
234,5454,21.0,22.9,20.54,328.0,502,456.0,850.0,1,1,3
235,5457,20.85,22.95,20.68,326.0,504,442.0,855.0,1,1,3
236,5460,20.91,22.91,20.64,328.0,504,450.0,850.0,1,1,3
237,5465,20.87,22.85,20.65,326.0,494,538.0,850.0,1,1,3
238,5468,20.92,22.71,20.63,326.0,498,534.0,845.0,0,1,3
239,5471,20.86,22.76,20.62,326.0,496,534.0,845.0,1,1,3
240,5474,20.85,22.74,20.67,326.0,502,532.0,850.0,1,1,3
241,5477,20.91,22.74,20.68,328.0,502,534.0,855.0,1,1,3
242,5480,20.97,22.7,20.65,326.0,504,534.0,855.0,1,1,3
243,5483,20.92,22.7,20.62,328.0,504,540.0,860.0,1,1,3
244,5486,20.93,22.88,20.71,328.0,506,522.0,855.0,0,1,3
245,5489,20.94,22.75,20.68,328.0,506,544.0,860.0,1,1,3
246,5492,20.98,22.72,20.75,330.0,508,548.0,860.0,1,1,3
247,5495,20.97,22.78,20.7,328.0,506,544.0,860.0,1,1,3
248,5498,20.99,22.85,20.67,330.0,508,544.0,860.0,1,1,3
249,5501,20.97,22.85,20.8,328.0,506,540.0,860.0,0,1,3
250,5504,20.95,22.86,20.77,328.0,504,536.0,865.0,0,0,3
251,5507,20.97,22.71,20.79,326.0,504,536.0,865.0,1,0,3
252,5510,20.9,22.78,20.8,328.0,504,536.0,865.0,1,0,3
253,5513,20.95,22.69,20.79,326.0,504,532.0,875.0,0,0,3
254,5516,20.96,22.63,20.78,326.0,504,534.0,880.0,0,0,3
255,5519,20.97,22.71,20.75,328.0,502,534.0,875.0,0,1,3
256,5522,20.93,22.66,20.73,324.0,494,508.0,880.0,1,1,3
257,5525,21.0,22.59,20.82,326.0,506,536.0,885.0,1,1,2
258,5528,21.0,22.54,20.78,328.0,506,538.0,885.0,1,1,2
259,5531,20.92,22.6,20.83,330.0,508,540.0,875.0,1,1,2
260,5534,21.02,22.5,20.87,330.0,508,544.0,870.0,0,1,2
261,5539,21.04,22.54,20.82,330.0,508,548.0,875.0,1,1,2
262,5541,20.91,22.49,20.87,330.0,508,560.0,870.0,1,1,2
263,5544,20.94,22.43,20.8,330.0,508,550.0,870.0,0,1,2
264,5547,20.94,22.3,20.85,330.0,508,550.0,870.0,1,1,2
265,5550,21.04,22.39,20.8,330.0,508,552.0,865.0,1,0,2
266,5553,21.05,22.4,20.79,330.0,508,552.0,870.0,1,1,2
267,5556,20.98,22.42,20.88,330.0,508,550.0,870.0,0,1,2
268,5559,20.99,22.36,20.87,330.0,508,556.0,865.0,0,1,2
269,5562,20.96,22.38,20.89,330.0,510,556.0,860.0,1,1,2
270,5565,21.0,22.34,20.9,330.0,508,556.0,840.0,1,1,2
271,5568,21.04,22.31,20.9,330.0,508,500.0,845.0,1,1,2
272,5570,20.97,22.27,20.91,330.0,508,550.0,850.0,0,1,2
273,5573,21.02,22.19,20.9,330.0,508,552.0,860.0,0,1,2
274,5576,21.01,22.23,20.87,328.0,494,558.0,865.0,1,1,3
275,5579,20.97,22.12,20.89,330.0,512,556.0,870.0,1,1,3
276,5582,21.04,22.18,20.79,330.0,508,556.0,870.0,1,1,3
277,5585,21.02,22.23,20.91,330.0,508,552.0,885.0,1,1,3
278,5588,20.98,22.16,20.91,330.0,514,558.0,890.0,1,1,2
279,5591,20.99,20.553336624864226,20.9,328.0,516,558.0,895.0,1,1,2
280,5594,20.96,22.31,20.88,330.0,512,558.0,895.0,1,1,3
281,5597,21.02,22.37,20.85,330.0,510,558.0,890.0,0,1,3
282,5600,21.0,22.32,20.85,330.0,512,554.0,890.0,1,1,3
283,5603,21.05,22.24,20.94,330.0,508,552.0,880.0,1,1,3
284,5606,21.0,22.26,20.88,330.0,508,554.0,880.0,1,1,3
285,5609,20.98,22.19,20.9,330.0,508,550.0,880.0,0,1,3
286,5612,20.99,22.19,20.91,328.0,508,552.0,875.0,0,1,3
287,5615,21.0,22.04,20.89,330.0,510,554.0,875.0,0,1,3
288,5618,21.07,21.96,20.91,328.0,510,556.0,875.0,0,0,3
289,5621,21.05,22.0,20.91,330.0,510,544.0,880.0,0,0,3
290,5624,20.98,21.97,20.91,330.0,510,558.0,880.0,1,1,3
291,5627,21.05,22.06,20.93,330.0,510,554.0,890.0,1,1,3
292,5630,21.05,21.9,20.91,328.0,510,554.0,900.0,1,1,3
293,5633,21.04,22.06,20.85,328.0,508,552.0,905.0,1,1,3
294,5636,21.0,22.07,20.86,328.0,508,550.0,910.0,0,1,3
295,5639,20.96,22.03,20.96,328.0,508,552.0,910.0,1,1,3
296,5642,21.01,21.96,21.0,330.0,508,550.0,910.0,1,1,3
297,5645,21.05,21.99,20.97,328.0,508,548.0,910.0,1,1,3
298,5648,21.11,21.98,20.93,330.0,508,548.0,910.0,1,1,3
299,5651,21.03,22.07,20.97,330.0,512,558.0,910.0,1,1,3
300,5654,20.98,21.96,20.91,330.0,510,550.0,910.0,1,1,3
301,5657,21.1,22.11,20.97,328.0,508,548.0,910.0,0,0,3
302,5660,20.97,22.19,20.96,330.0,508,548.0,915.0,0,1,3
303,5663,21.05,22.12,20.91,330.0,512,554.0,910.0,0,1,3
304,5666,21.09,22.06,21.01,330.0,514,560.0,915.0,1,0,3
305,5669,21.06,22.06,20.91,330.0,512,556.0,920.0,1,1,3
306,5672,21.01,22.22,21.0,326.0,510,508.0,925.0,1,1,3
307,5675,21.1,22.12,20.98,330.0,512,546.0,925.0,1,1,3
308,5678,21.12,22.18,20.96,330.0,510,554.0,930.0,1,0,3
309,5681,21.08,22.15,21.02,330.0,510,556.0,935.0,1,0,3
310,5684,21.06,22.19,20.91,330.0,510,556.0,935.0,1,0,3
311,5687,21.04,22.02,20.98,330.0,512,560.0,935.0,0,0,3
312,5690,21.06,22.13,20.96,330.0,512,558.0,935.0,1,0,3
313,5693,21.07,22.17,20.95,330.0,512,558.0,935.0,1,0,3
314,5696,21.05,22.13,20.9,330.0,512,552.0,935.0,0,0,3
315,5699,21.05,22.18,20.99,330.0,512,558.0,935.0,0,0,3
316,5702,21.06,22.0,20.96,330.0,512,558.0,930.0,0,0,3
317,5705,21.07,21.99,20.9,330.0,514,558.0,925.0,1,0,3
318,5708,21.05,22.02,20.92,330.0,514,560.0,925.0,1,0,3
319,5711,21.1,22.09,21.06,330.0,514,556.0,930.0,1,0,3
320,5714,21.11,22.06,20.93,330.0,512,538.0,940.0,1,1,3
321,5717,21.12,22.0,20.9,330.0,512,560.0,940.0,1,1,3
322,5720,21.1,22.09,21.02,330.0,510,550.0,945.0,0,1,3
323,5723,21.11,22.16,20.97,330.0,510,554.0,945.0,0,0,3
324,5726,21.12,22.05,20.92,330.0,510,554.0,955.0,0,0,3
325,5729,21.04,22.02,20.98,330.0,510,556.0,960.0,0,0,3
326,5732,21.09,22.16,21.0,330.0,510,560.0,965.0,0,1,3
327,5735,21.19,22.23,20.93,330.0,510,556.0,960.0,1,1,3
328,5738,21.17,22.15,20.98,328.0,508,538.0,965.0,1,1,3
329,5740,21.19,22.09,21.02,326.0,508,536.0,970.0,1,1,3
330,5743,21.1,22.16,21.04,328.0,508,546.0,965.0,1,1,3
331,5746,21.14,22.2,21.04,326.0,504,544.0,970.0,1,1,3
332,5749,21.12,22.14,21.01,326.0,508,548.0,975.0,0,1,3
333,5752,21.1,22.24,20.96,328.0,504,546.0,970.0,0,0,3
334,5755,21.15,22.25,21.01,326.0,506,544.0,965.0,1,0,3
335,5758,21.13,22.1,20.98,328.0,502,546.0,960.0,1,0,3
336,5761,21.14,22.18,21.02,326.0,502,544.0,955.0,0,0,3
337,5764,21.16,22.24,21.0,328.0,502,542.0,960.0,1,1,3
338,5767,21.17,22.21,20.98,328.0,502,538.0,965.0,0,1,3
339,5770,21.19,22.3,21.05,328.0,506,536.0,965.0,1,1,3
340,5773,21.09,22.21,21.06,326.0,506,534.0,965.0,1,1,3
341,5776,21.19,22.17,21.1,326.0,504,532.0,965.0,1,1,3
342,5781,21.1,22.3,21.05,324.0,498,530.0,960.0,1,1,3
343,5784,21.12,22.3,21.05,322.0,502,532.0,955.0,1,1,3
344,5787,21.15,22.18,21.11,316.0,498,532.0,950.0,1,0,3
345,5790,21.16,22.3,21.04,320.0,494,436.0,950.0,1,1,3
346,5793,21.1,22.25,21.1,38.0,44,194.0,950.0,1,1,0
347,5796,21.14,21.97,21.04,38.0,44,196.0,960.0,1,1,0
348,5799,21.15,21.91,21.07,38.0,44,194.0,970.0,0,1,0
349,5802,21.18,21.78,20.97,38.0,44,196.0,965.0,0,0,0
350,5805,21.18,21.81,21.03,40.0,48,202.0,970.0,0,0,0
351,5808,21.06,21.78,21.12,38.0,46,202.0,970.0,0,0,0
352,5811,21.18,21.79,20.96,38.0,46,200.0,970.0,0,0,0
353,5814,21.09,21.73,20.99,38.0,46,198.0,970.0,0,0,0
354,5817,21.14,21.72,21.05,38.0,44,196.0,970.0,0,0,0
355,5820,21.1,21.72,21.02,36.0,44,192.0,965.0,0,0,0
356,5823,21.19,21.67,21.01,36.0,44,194.0,970.0,0,0,0
357,5826,21.15,21.59,20.99,36.0,44,192.0,965.0,0,0,0
358,5829,21.09,21.61,21.0,36.0,44,192.0,960.0,0,0,0
359,5832,21.09,21.5,21.05,36.0,44,190.0,965.0,0,0,0
360,5835,21.13,21.49,20.95,38.0,44,196.0,965.0,0,0,0
361,5838,21.04,21.5,20.97,38.0,46,198.0,965.0,0,0,0
362,5841,21.03,21.54,20.93,38.0,46,200.0,975.0,0,0,0
363,5844,21.06,21.55,20.95,38.0,46,202.0,975.0,0,0,0
364,5847,21.04,21.49,20.9,38.0,46,200.0,975.0,0,0,0
365,5850,21.08,21.56,21.0,38.0,46,200.0,970.0,0,0,0
366,5853,21.07,21.42,20.92,38.0,44,196.0,965.0,0,0,0
367,5856,21.11,21.48,20.91,38.0,44,196.0,960.0,0,0,0
368,5859,21.0,21.41,20.94,38.0,46,198.0,960.0,0,0,0
369,5862,21.08,21.37,20.99,38.0,46,198.0,955.0,0,0,0
370,5865,21.04,21.42,20.96,38.0,46,198.0,945.0,0,0,0
371,5867,21.01,21.36,20.91,36.0,44,198.0,945.0,0,0,0
372,5870,21.05,21.35,20.94,36.0,44,194.0,950.0,1,1,0
373,5873,20.98,21.34,20.84,36.0,44,196.0,950.0,0,0,0
374,5876,20.97,21.47,20.91,36.0,44,192.0,940.0,0,0,0
